НаименованиеПолное;Артикул;Изготовитель;ОрНомер;Применяемость;Наличие;Кратностьпродажиопт;ЦенаКлиенту;Код1С;Минимальнаяценапродажи;Интернетмагазин
Пистолет MIGHTY SEVEN для подкачки шин 11 бар, с манометром 60 мм;SB-422;янв.56;;;15;1;1709,4;00-00800906;1709,4;1850
Комплект переходников для установки ATF 5000, расширенный GRUNBAUM GB61003 1-56 (Maruichi) GB61003;GB61003;1-56 (Maruichi);;;1;1;22454,26;00-01616180;22454,26;22455
Салфетка пропитанная активатором адгезии 3M 06396;06396/94520;3M;;;500;1;68,48;00-00059896;68,48;92
Покрытие Антигравийное 3M 8158 Распыляемое Гладкое, Черное В Аэрозоли, 500 Мл.;8158;3M;;;9;1;939,98;00-00859954;939,98;1263
Покрытие Антигравийное 3M 8868 Текстурное, Черное, 1 Кг;8868;3M;;;13;1;942,01;00-00860408;942,01;1270
Лента липкая двусторонняя 100F VHB 125мм x 125мм толщина 1мм 3M 100A6;100A6;3M;;;392;1;140,02;00-00966819;140,02;189
Лента липкая двусторонняя GT6008 6мм x 5м толщина 0,8мм 3M 30319;30319;3M;3919106100;;500;1;220,77;00-00055997;220,77;298
Лента липкая двусторонняя GT6008 8мм x 5м толщина 0,8мм 3M 30320;30320;3M;3919106100;;500;1;267,79;00-00055998;267,79;361
Лента липкая двусторонняя GT6008 12мм x 5м толщина 0,8мм 3M 30321;30321;3M;3919106100;;500;1;320,93;00-00055999;320,93;433
Лента липкая двусторонняя GT6008 15мм x 5м толщина 0,8мм 3M 30322;30322;3M;3919106100;;500;1;368,98;00-00056000;368,98;497
Лента липкая двусторонняя GT6008 20мм x 5м толщина 0,8мм 3M 30323;30323;3M;3919106100;;500;1;463;00-00056001;463;624
Гибкие абразивные листы в рулонах для ручной шлифовки, P2000, 13.9 х11.4см, 20 листов в рулоне 3M 35115;35116;3M;;;11;1;1233,12;00-01130032;1233,12;1650
Средство для ухода за кожей и пластиком 3M, 39040 473 мл.;39040;3M;;;14;1;694,96;00-00859107;694,96;968
Очиститель клея 3M, 500мл аэрозоль. 50098;50098;3M;;;4;1;2036,63;00-00140095;2036,63;2736
Полироль паста антиголограммная 1л 3M Ультрафина 50383;50383;3M;;;13;1;2583,07;00-00145493;2583,07;3426,47
Полироль паста антиголограммная незамерзающая 1л 3M Ультрафина 50383 NF;50383NF;3M;;;21;1;2482,15;00-01040810;2482,15;3463
Одношаговая абразивная полировальная паста 3M 1л 3M 51825;51825;3M;;;53;1;2216,07;00-01002615;2216,07;3037
Полировальник на липучке d=133мм шерстяной для пасты 13084 3M 01927;7000028404;3M;1927;;16;2;1350,47;00-00682397;1350,47;1827
Полировальник на липучке d=150мм синий для пасты 50383 3M 50388;7000032123;3M;50388;;24;2;737,53;00-00682368;737,53;994
Полировальник на липучке d=150мм зеленый для пасты 50417 3M 50487;7000032137;3M;;;12;2;1059,06;00-00150210;1059,06;1415
Полировальник на липучке d=150мм желтый для пасты 80349NF 3M 50488;7000032138;3M;;;30;2;707,43;00-00675284;707,43;953
